company_name,contact_name,contact_title,email,phone,website,linkedin_url
Toronto College Park Ltd,Alex Johnson,,,416-359-2929,https://www.shopping-canada.com/shopping-malls-centers/ontario/toronto/toronto-college-park,https://linkedin.com/search/results/companies/?keywords=Toronto+College+Park+Ltd
Niagara Regional Agricultural Society,,,,905-735-6413,https://www.niagaraex.com/,
Wellings Of Winchester Inc,,,,,https://www.wellingsofwinchester.com/,https://linkedin.com/search/results/companies/?keywords=Wellings+Of+Winchester+Inc
Blackstar 3045 Queen Frederica Ltd,,,,,https://www.apartments.com/3045-queen-frederica-drive-mississauga-on/qfwnknw/,https://linkedin.com/search/results/companies/?keywords=Blackstar+3045+Queen+Frederica+Ltd
BRL Realty Ltd,,,,,https://metarealtyinc.ca/developers/brl-realty/,
Sunnidale Estates Ltd,,,,,https://ero.ontario.ca/notice/019-2639,https://linkedin.com/search/results/companies/?keywords=Sunnidale+Estates+Ltd
DSV Contact Logistics Inc,Andreas Wenger,,,905-203-2020,https://www.dsv.com/en-ca,https://linkedin.com/search/results/companies/?keywords=Elammar+&+Company+Inc
Burlon Centre Inc,,,,905-637-8722,https://www.canadacompanyregistry.com/companies/burlon-centre-inc/,
1143028 BC Ltd,,,,,,
College Street (555-563) Inc,,,,800-465-2733,https://livingatstrada.capreit.ca/,https://linkedin.com/search/results/companies/?keywords=College+Street+(555-563)+Inc
2190241 Ontario Inc,,,,,https://www.obrpartner.mgcs.gov.on.ca/onbis/master/service/create.pub?o=oA3vOl4N_xGMMKu_SfdRAhAhLLiss2AEBQqF9gdZPUC3qwVU0pjwZw,
KS 5600 & 5705 Cancross Inc,,,,416-687-6700,https://opengovca.com/mississauga-business/23328,https://linkedin.com/search/results/companies/?keywords=KS+5600+&+5705+Cancross+Inc
DSV Contact Logistics Inc,,,,905-203-2020,https://dantiv.net/,https://linkedin.com/search/results/companies/?keywords=Dantiv+Management+Inc
Weehauken Homes Inc,,,,,https://www.ontarioaboriginalhousing.ca/news/ontario-aboriginal-housing-services-and-neech-ke-wehn-homes-to-work-together-as-local-indigenous-housing-providers,https://linkedin.com/search/results/companies/?keywords=Weehauken+Homes+Inc
Barrie Seniors GP Ltd,,,,,https://barrieseniorservicesnetwork.com/,
Pal Holdings Canada Inc,Anil Taneja,,,905-881-6505,https://palairlines.ca/,
2454231 Ontario Inc,,,,,https://www.dnb.com/business-directory/company-profiles.2454231_ontario_inc.05f152160f5216be50feaf38f01b13c5.html,https://linkedin.com/search/results/companies/?keywords=2454231+Ontario+Inc
Hazelview WP Inc,,,,888-949-8439,https://www.hazelview.com/,https://linkedin.com/search/results/companies/?keywords=Hazelview+WP+Inc
CF/Realty Holdings Inc,None None,,,416-598-8200,https://www.cfrealty.ca/,https://linkedin.com/search/results/companies/?keywords=CF/Realty+Holdings+Inc
80 Centurian Drive Markham Holdings Inc,,,,,https://www.loopnet.ca/Listing/80-Centurian-Dr-Markham-ON/21665780/,https://linkedin.com/search/results/companies/?keywords=80+Centurian+Drive+Markham+Holdings+Inc
Janestown Valley Developments Ltd,,,,905-738-7010,https://opencorporates.com/companies/ca_on/1392192,https://linkedin.com/search/results/companies/?keywords=Janestown+Valley+Developments+Ltd
Sandmill Developments Inc,,,,,https://sandhilldevelopment.ca/,
Castlepoint Greybrook Inc,,,,905-303-6873,https://greybrook.com/?lang=en,
1384341 Ontario Ltd,,,,,https://ero.ontario.ca/index.php/fr/node/5759,https://linkedin.com/search/results/companies/?keywords=1384341+Ontario+Ltd
Rock Developments East Windsor Inc,,,,519-739-3900,https://www.rockdevelopments.ca/,https://linkedin.com/search/results/companies/?keywords=Rock+Developments+East+Windsor+Inc
Caledon Development General Partner Ltd,,,,,https://www.caledon.ca/en/town-services/development-applications.aspx,https://linkedin.com/search/results/companies/?keywords=Caledon+Development+General+Partner+Ltd
The Standard Life Assurance Co of Canada,Gus Tsoraklidis,,,416-224-3535,https://www.manulife.ca/personal/support/group-plans/sl-transition.html,
Williamsburg Seniors Holdings Inc,,,,416-449-9950,https://www.williamsburgseniors.com/,
Murjay Construction Ltd,DANIEL MURRAY,FOUNDER AND PRESIDENT,,,https://www.murray.construction/about,https://linkedin.com/search/results/companies/?keywords=Murjay+Construction+Ltd
CAPREIT Apartments Inc,Lisa Shipley,,,416-861-9404,https://www.capreit.ca/,https://linkedin.com/search/results/companies/?keywords=CAPREIT+Apartments+Inc
Milton Property Investments Inc,,,,,https://www.canadacompanyregistry.com/companies/milton-property-investments-inc/,
Collingwood Seniors GP Ltd,,,,,https://www.infobel.com/en/canada/collingwood_seniors_gp/collingwood/CA104134018-7054453969/businessdetails.aspx,
MKHZ Belleville Building 1 GP Ltd,Adrian Munro,,,403-723-2106,https://opencouncil.ca/belleville-sold-property-easement-to-mkhz-belleville-building-1-gp-ltd/,
1213763 Ontario Inc,Clare Qu,,,416-507-2929,,
Ashcroft Homes - La Promenade Inc,,,,613-226-7266,https://maps.google.com/maps%3Fq%3DBona%2BBuilding%2B%2526amp%253B%2BManagement%2BCo%2BLtd%26um%3D1%26ie%3DUTF-8%26ved%3D1t:200713%26ictx%3D111,https://linkedin.com/search/results/companies/?keywords=Bona+Building+&amp;+Management+Co+Ltd
CAPREIT Apartments Inc,Lisa Shipley,Executive Assistant,,416-861-9404,https://www.capreit.ca/,https://linkedin.com/search/results/companies/?keywords=CAPREIT+Apartments+Inc
Cambridge Retirement Group Ltd,Hanh Tran,Accountant,,,https://cambridge.rprgonline.com/,
2714791 Ontario Ltd,,,,,https://kolt.ca/realty/wp-content/uploads/sites/4/2023/10/Esna-Park-Brochure_Final_20.10.23-c.pdf,https://linkedin.com/search/results/companies/?keywords=270-330+Esna+Park+GP+Inc
Cornwall (Boundary and Marleau),,,info@dnb.com,,https://www.dnb.com/business-directory/company-profiles.cornwall_(boundary_and_marleau)_holdings_inc.ec95eff98de91478e4d0f91f4609ee66.html,https://linkedin.com/search/results/companies/?keywords=Cornwall+(Boundary+and+Marleau)
BayBridge (St Catharines) Inc,,,info@liveyourretirement.com,416-487-2020,https://www.liveyourretirement.com/homes/group/baybridge-senior-living/canada/ontario,
Birchmount Green Inc,,,,,https://www.mahoganymanagement.com/birchmountgreen,
10364240 Canada Inc,,,,,https://ised-isde.canada.ca/cc/lgcy/fdrlCrpDtls.html?corpId=10364240,
Deergate Holdings Inc,,,,,https://ero.ontario.ca/notice/019-4745,
Valley King Developments Ltd,,,,,https://canada.constructconnect.com/dcn/certificates-and-notices/F9915D0F-DFE6-4F7A-AC29-AC4E3B6D5DC2,https://linkedin.com/search/results/companies/?keywords=Valley+King+Developments+Ltd
DD 8675 McHugh Street Ltd,,,,,https://www.canadacompanyregistry.com/companies/zgr-logistics-inc/,https://linkedin.com/search/results/companies/?keywords=DD+8675+McHugh+Street+Ltd
Blackstar 7110 Darcel Ltd,,,,,https://blackstaramps.com/,https://linkedin.com/search/results/companies/?keywords=Blackstar+7110+Darcel+Ltd
Blackstar 4190 Bathurst Ltd,,,,,https://globalfinreg.com/en/lookup/Blackstar-4190-Bathurst-Ltd-/Canada/254900MBQXW97YZ8WZ67,https://linkedin.com/search/results/companies/?keywords=Blackstar+4190+Bathurst+Ltd
RIR Developments Ltd,,,,,https://www.dnb.com/business-directory/company-profiles.rir_developments_limited.3525809a2bd6cbbcbc6288de48852ace.html,https://linkedin.com/search/results/companies/?keywords=RIR+Developments+Ltd
Impact Graffiti Inc,,,,,https://impact.ca/graffiti-removal-company,
DKI Queen Inc,,,,,https://dki.ca/,
OPB Realty Inc,,,,416-408-4626,https://www.dnb.com/business-directory/company-profiles.opb_realty_inc.71464b0d3ec0e900e1edadafc1ebcedd.html,https://linkedin.com/search/results/companies/?keywords=OPB+Realty+Inc
1834375 Ontario Inc,,,,,https://www.obrpartner.mgcs.gov.on.ca/onbis/master/service/create.pub?o=oA3vOl4N_xGMMKu_SfdRAhAhLLiss2AEBQqF9gdZPUC3qwVU0pjwZw,https://linkedin.com/search/results/companies/?keywords=1834375+Ontario+Inc
Vomano Valley Developments Ltd,David Giugovaz,,,905-738-7010,https://www.valdorengineering.com/copy-of-residential-subdivisions,https://linkedin.com/search/results/companies/?keywords=Vomano+Valley+Developments+Ltd
IG Investment Management Ltd,,,,888-746-6344,https://www.ig.ca/en,
Aye Properties Inc,None None,,,,https://www.ayreoxford.com/,
Sitzer Group Holdings No 1 Ltd,,,,,https://www.sitzergroup.ca/,
Laurentian University of Sudbury,,,,705-675-1151,https://laurentian.ca/,https://linkedin.com/search/results/companies/?keywords=Laurentian+University+of+Sudbury
Unilever Canada Inc,,,,416-415-3000,,
Wesley Woods Ltd,,,,,https://www.dnb.com/business-directory/company-profiles.wesley_woods_ltd.3b81ffc51569cd0c5367c9a8c231a6b2.html,
1143028 BC Ltd,,,,,https://opencorporates.com/companies/ca_bc/BC1143028,https://linkedin.com/search/results/companies/?keywords=1143028+BC+Ltd
Blackstar 120-130 Raglan Ltd,,,,,,
DD 171 Kortright Ltd,,,,416-234-8444,https://www.skylineliving.ca/en/apartments/ontario/guelph/171-kortright-road-west-guelph-on,
FCHT Holdings (Ontario) Corp,,,info@dnb.com,416-504-4114,https://www.obrpartner.mgcs.gov.on.ca/onbis/master/service/create.pub?o=oA3vOl4N_xGMMKu_SfdRAhAhLLiss2AEBQqF9gdZPUC3qwVU0pjwZw,
592264 Ontario Inc,,,,416-247-5432,https://carmacorp.com/carma-billing-services/,https://linkedin.com/search/results/companies/?keywords=55MA+Corp
Bowmanville Seniors GP Ltd,,,,,https://bowmanvilleolderadults.com/,
Dymon Storage (Ottawa) Corp,,,info@dymon.ca,613-247-0888,https://dymon.ca/,
King North Developments CR Inc,,,,,http://kingnorth.com/,https://linkedin.com/search/results/companies/?keywords=King+North+Developments+CR+Inc
Diamond Residential Developments Corp,,,,,https://diamondcorp.ca/,https://linkedin.com/search/results/companies/?keywords=Ontario+Superior+Court+of+Justice
Orchard View on The Rideau Inc,,,,613-821-4205,https://www.retirementhomesontario.ca/home/orchard-view-on-the-rideau,
Leslie Street (FGH) Inc,Lisa Queen,,info@yorkregion.com,905-850-8500,https://www.yorkregion.com/news/council/are-you-curious-about-new-developments-proposed-in-newmarket-heres-everything-you-need-to-know/article_42b7ed9d-d746-5752-ad68-ddb073ba1742.html,https://linkedin.com/search/results/companies/?keywords=Leslie+Street+(FGH)+Inc
Baybridge (Tillsonburg) Inc,,,info@tillsonburghydro.ca,416-487-2020,,
King Hill Inc,,,,905-738-7010,https://www.supplementking.ca/,https://linkedin.com/search/results/companies/?keywords=King+Hill+Inc
33 West Beaver Creek Road Inc,,,,,https://www.eurofase.com/,
Royal Empress Gardens Ltd,,,,416-630-5263,https://www.empressgardens.ca/,https://linkedin.com/search/results/companies/?keywords=Royal+Empress+Gardens+Ltd
Caledon 410 Developments Ltd,,,,,https://www.caledon.ca/en/town-services/12290-hutchinson-farm-lane.aspx,https://linkedin.com/search/results/companies/?keywords=Caledon+410+Developments+Ltd
Canadian Broadcasting Corp,,,,,https://www.cbc.ca/,https://linkedin.com/search/results/companies/?keywords=Canadian+Broadcasting+Corp
2451004 Ontario Ltd,,,,,,
Castle Peak Retirement Residence Inc,,,,,https://castlepeakmuskoka.com/,
Sudbury Regent Street Inc,,,,,https://www.dnb.com/business-directory/company-profiles.sudbury_regent_street_inc.26a796e0ae49738feb319abbe8e83d75.html,https://linkedin.com/search/results/companies/?keywords=Sudbury+Regent+Street+Inc
Amexon Capital Corp,,,,416-493-5000,https://amexon.com/,https://linkedin.com/search/results/companies/?keywords=Amexon+Capital+Corp
190 Britannia Road Holdings ULC,,,,,https://pureindustrial.ca/listings/190-britannia-road-east/,https://linkedin.com/search/results/companies/?keywords=190+Britannia+Road+Holdings+ULC
Lester Shoalts Ltd,,,,905-835-2177,,
M 1755 Riverside Corp,,,,,https://b2bhint.com/en/company/ca-on/m-1755-riverside-corp--2007245,https://linkedin.com/search/results/companies/?keywords=M+1755+Riverside+Corp
Impact Graffiti Inc,Chris Boutsalis,,,,https://impact.ca/graffiti-removal-company,https://linkedin.com/search/results/companies/?keywords=Impact+Graffiti+Inc
Meadow Electrical Contractors Ltd,,,,,https://www.canpages.ca/business/SK/meadow-lake/electrical-contractors/5881-275200.html,
Derry (ARI) Ltd,,,,,https://canada.constructconnect.com/dcn/certificates-and-notices/ED2F5656-34CE-407D-8E61-15714E64151A,
Medusa General Partner Inc,,,,514-737-0076,,
Blackstar 120-130 Raglan Ltd,,,,,https://opencorpdata.com/lei/25490090PHYFL3AI9B89,
Febau (Canada) Ltd,,,info@dnb.com,,https://www.dnb.com/business-directory/company-profiles.febau_(canada)_limited.357d13b4d87e0598cb2faec017f7eb95.html,https://linkedin.com/search/results/companies/?keywords=Febau+(Canada)+Ltd
Terraplex Investments Inc,None None,,,,https://www.dnb.com/business-directory/company-profiles.terraplex_investments_inc.677f2851be6c4c6156bf057043dc745d.html,https://linkedin.com/search/results/companies/?keywords=Terraplex+Investments+Inc
Skyline (Port McNicoll) Development Inc,,,info@urbantoronto.ca,416-368-2565,https://urbantoronto.ca/database/projects/port-mcnicoll-resort-village-yacht-club.4146,https://linkedin.com/search/results/companies/?keywords=Skyline+(Port+McNicoll)+Development+Inc
RioCan Dupont Holdings Inc,,,,,https://www.riocan.com/,https://linkedin.com/search/results/companies/?keywords=RioCan+Dupont+Holdings+Inc
Kingdom Hotels (Toronto) ltd,Charles Henry,,,,https://kingdomhotels.com/,
Bisha Hotel Toronto Inc,,,,,https://www.bishahoteltoronto.com/,
Fallsview Niagara Lodging Company,,,,,https://fallsviewgroup.com/,https://linkedin.com/search/results/companies/?keywords=Fallsview+Niagara+Lodging+Company
1122 International Nominee Inc,,,,,https://www.avisonyoung.ca/properties/1122-Internation-lease,
2403290 Ontario Ltd,,,,,https://www.dnb.com/business-directory/company-profiles.2403290_ontario_limited.c8bd0a844e96dd3c0020bb010da6d042.html,
1640 Lawrence Ave West Inc,,,,,https://www.drakepm.com/residential/1640-lawrence-avenue-west,https://linkedin.com/search/results/companies/?keywords=1640+Lawrence+Ave+West+Inc
PFS GTA Industrial Inc,,,,,,
1982 Ma & Wong Holdings Ltd,Pauline PW Ma,,,,,
Ontario Superior Court of Justice,,,,,https://www.ontariocourts.ca/scj/,https://linkedin.com/search/results/companies/?keywords=Ontario+Superior+Court+of+Justice
Mississauga Rest Home Inc,,,,,https://www.ontario.ca/locations/longtermcare/homes/1078-mississauga-long-term-care-facility/,
Patilda Construction Inc,,,,,https://canada.constructconnect.com/dcn/certificates-and-notices/A4D22A64-261F-4BDE-AEA7-C344847367FB,https://linkedin.com/search/results/companies/?keywords=Patilda+Construction+Inc
Bost Properties Inc,None None,,,,https://bostonproperties.co/,https://linkedin.com/search/results/companies/?keywords=Bost+Properties+Inc
2824213 Ontario Inc,,,,,,
Pine Ridge Tower Ltd,,,,,https://www.dnb.com/business-directory/company-profiles.pine_ridge_tower_limited.cf45d9509870abe760b185fc5f68d0dd.html,
West Haven Ltd,,,,,https://www.westhavengold.com/,https://linkedin.com/search/results/companies/?keywords=West+Haven+Ltd
Brookvalley Developments (Aurora) Ltd,,,nick.cortellucci@obd.hcraontario.ca,905-738-7010,https://obd.hcraontario.ca/profile/B39830,https://linkedin.com/search/results/companies/?keywords=Brookvalley+Developments+(Aurora)+Ltd
Queens Ave Retirement Home Inc,,,,250-861-3030,https://livinglivita.com/oakville/,
Dernetro Holdings Ltd,,,,,,
Bona Building & Management Co Ltd,,,,,http://www.bonaproperties.com/,
Shellard Lane Brantford,,,,,https://www.realtor.ca/on/brantford/shellard-lane/real-estate,https://linkedin.com/search/results/companies/?keywords=Shellard+Lane+Brantford
Marhome Ventures Inc,,,,,https://marventures.com/,
First Capital (North York) Corp,,,info@fcr.ca,416-504-4114,https://fcr.ca/,https://linkedin.com/search/results/companies/?keywords=First+Capital+(North+York)+Corp
PFS GTA Industrial Inc,,,,,http://www.gtaindustrialsupplies.ca/,
Lindos Holdings Ltd,Jana Seaman,,,,https://www.lindosholding.com/,https://linkedin.com/search/results/companies/?keywords=Lindos+Holdings+Ltd
Admns Kelvingrove Investment Corp,,,,,https://www.canadacompanyregistry.com/companies/admns-kelvingrove-investment-corporation/,
McCowan and Associates Ltd,,,,705-737-1057,https://www.mccowan.ca/,https://linkedin.com/search/results/companies/?keywords=McCowan+and+Associates+Ltd
BayBridge (Perth) Inc,,,info@seniorspages.ca,416-487-2020,https://seniorspages.ca/retirement-homes/perth/baybridge-perth-inc/,
592264 Ontario Inc,,,,,https://www.dnb.com/business-directory/company-profiles.592264_ontario_inc.bb55f754dbd5d0f276559bd77f923c3e.html,
71 Maybrook Drive Inc,,,,,https://trench-group.com/trench-canada/,
Empire Communities (Caterini) Ltd,,,info@empirehomes.com,905-307-8102,,
400-450 Matheson Blvd E Holdings ULC,,,,,https://www.collierscanada.com/en-ca/properties/institutional-quality-micro-bay-industrial-complex-on-high-exposure-corner/can-400-450-matheson-boulevard-east-mississauga-ontario-l4z-1n8/can2018268,https://linkedin.com/search/results/companies/?keywords=400-450+Matheson+Blvd+E+Holdings+ULC
Downing Street (14 Vansco Rd) Inc,,,info@downingstreet.com,416-248-6206,https://www.downingstreet.com/commercial/14-vansco-road/,https://linkedin.com/search/results/companies/?keywords=Downing+Street+(14+Vansco+Rd)+Inc
Taunton Road 2333 Property Inc,,,,905-333-8364,https://www.avisonyoung.ca/properties/2333TauntonRd,
Lester Shoalts Ltd,,,,905-835-2177,https://canada.chamberofcommerce.com/business-directory/ontario/port-colborne/property-management-company/847420-lester-shoalts-limited,
11 Yorkville Partners Inc,,,,,https://11yorkville.com/,
Chateau Ottawa Hotel Inc,,,,416-244-1711,https://www.chateaulaurier.com/,
Blackstar 3000-3015-3017 Queen Ltd,,,,,https://opencorpdata.com/lei/254900OG0ZT3LCMGP877,
Cars Canada PHA 1 GPSPE LLC,,,,,https://www.cars-canada.ca/,https://linkedin.com/search/results/companies/?keywords=Cars+Canada+PHA+1+GPSPE+LLC
City of Toronto,alison folosea,,,,https://www.toronto.ca/,
KS 1400 Victoria Street Inc,,,,416-687-6700,https://www.thetilehouse.ca/contact,
Lakeland Meadows Ltd,,,,613-230-9448,https://geoln.com/canada/ottawa/9925,https://linkedin.com/search/results/companies/?keywords=Lakeland+Meadows+Ltd
"IG Investment Management, Ltd",,,,888-746-6344,https://www.ig.ca/en,
Edelstein Apartments Ltd,,,,,https://opencorporates.com/companies/ca_on/101342,https://linkedin.com/search/results/companies/?keywords=Edelstein+Apartments+Ltd
Industrial 5000 Real Estate Investments Inc,,,,416-865-8300,https://www.canadacompanyregistry.com/companies/industrial-5000-real-estate-investments-inc/,
Regita Enterprise Inc,,,,,,
Forty-One River Street (GP) Inc,,,,,https://www.canadacompanyregistry.com/companies/forty-one-river-street-gp-inc/,https://linkedin.com/search/results/companies/?keywords=Forty-One+River+Street+(GP)+Inc
Sixth Oak Inc,,,,,https://maps.google.com/maps%3Fq%3DSixth%2BOak%2BInc%26um%3D1%26ie%3DUTF-8%26ved%3D1t:200713%26ictx%3D111,
801611 Ontario Ltd,,,,,https://www.obrpartner.mgcs.gov.on.ca/onbis/master/service/create.pub?o=oA3vOl4N_xGMMKu_SfdRAhAhLLiss2AEBQqF9gdZPUC3qwVU0pjwZw,https://linkedin.com/search/results/companies/?keywords=801611+Ontario+Ltd
1600 HP Inc,,,,,https://www.hp.com/ca-en/home.html,
Armadale SC GP Ltd,,,,888-412-7722,https://www.recmedical.com/,https://linkedin.com/search/results/companies/?keywords=Armadale+SC+GP+Ltd
Ivanhoe Cambridge I Inc,,,,,https://www.ivanhoecambridge.com/en/,
"Ontario Superior Court of Justice,",,,,,https://www.ontariocourts.ca/scj/,"https://linkedin.com/search/results/companies/?keywords=Ontario+Superior+Court+of+Justice,"
Ontario Superior Court of Justice,,,,,https://www.ontariocourts.ca/scj/,
CSH Heritage Glen Inc,,,,855-461-0685,https://www.dnb.com/business-directory/company-profiles.csh_heritage_glen_inc.0c3f817a3393ca7d8a1517a297e53238.html,
Preakness Investment Ltd,,,,,https://www.mapquest.com/ca/ontario/preakness-investment-ltd-500395725,
Goldcorp Canada Ltd,,,,,https://skylinegroupofcompanies.ca,https://linkedin.com/search/results/companies/?keywords=Skyline+Real+Estate+Holdings+(II)+Inc
MEL (Woodstock 1) Inc,,,info@melsfishchips.ca,,,https://linkedin.com/search/results/companies/?keywords=MEL+(Woodstock+1)+Inc
Arsandco Investments Ltd,,,,,https://www.dnb.com/business-directory/company-profiles.arsandco_investments_limited.f8566708bfd67bb5656876c94af76e1a.html,
Woodstock Retirement Group Ltd,,,,,https://parkplaceretirement.ca/,
"Ontario Superior Court of Justice,",,,,,,
The Wedgewood Brockville Inc,,,,,,
2001856 Ontario Inc,,,,,https://www.obrpartner.mgcs.gov.on.ca/onbis/master/service/create.pub?o=oA3vOl4N_xGMMKu_SfdRAhAhLLiss2AEBQqF9gdZPUC3qwVU0pjwZw,
Shiplake Cambridge Ltd,,,,,https://www.shiplake.com/,
Hazelview WP Inc,,,,888-949-8439,https://www.hazelview.com/,
2714791 Ontario Ltd,,,,,https://www.obrpartner.mgcs.gov.on.ca/onbis/master/service/create.pub?o=oA3vOl4N_xGMMKu_SfdRAhAhLLiss2AEBQqF9gdZPUC3qwVU0pjwZw,
HOOPP Realty Inc,,,,416-369-9212,https://hoopp.com/investments/asset-classes/private-markets/hoopp-real-estate,
Unionville Development Corp,,,,416-922-8260,https://metropia.ca/communities/unionvillage/,
Ashcroft Homes - La Promenade Inc,,,,613-226-7266,https://ashcrofthomes.ca/company/,
IG Investment Management Ltd,,,,888-746-6344,https://ig.ca,
2824213 Ontario Inc,,,,,https://www.caledon.ca/en/town-services/12304-heart-lake-road.aspx,https://linkedin.com/search/results/companies/?keywords=12304+Heart+Lake+Road+Limited+Partnership
Weehauken Homes Inc,,,,,https://services.settlement.org/en/sault-ste-marie/housing-assistance/neech-ke-wehn-homes-inc-non-profit-housing-services/,https://linkedin.com/search/results/companies/?keywords=Weehauken+Homes+Inc
Admns Meadowlands Investment Corp,,,,416-590-9420,https://www.canadacompanyregistry.com/companies/admns-meadowlands-investment-corporation/,
Whiteoaks Communications Group Ltd,,,,,https://whiteoaksgroup.ca/,
CAPREIT Apartments Inc,Lisa Shipley,Executive Assistant,,416-861-9404,https://capreit.ca,https://linkedin.com/search/results/companies/?keywords=CAPREIT+Apartments+Inc
"Triton Water Canada Holdings, Inc",,,,,,
Wildpine Residence Inc,,,,,https://www.assistedlivingcenter.com/facilities/on/stittsville/wildpine-residence-k2s-1c6/,
Andrews Brothers Construction (Ottawa) Ltd,Donna Lea Andrews,,info@andrewsbcg.com,,https://andrewsbcg.com/,
2839890 Ontario Inc,,,,,https://opencorpdata.com/lei/9845003B65AA0813EY60,
877 Yonge Quebec Inc,,,,,https://opengovca.com/quebec-business/1164648645,
Cobourg Retirement Group Ltd,,,,,https://www.comfortlife.ca/retirement-communities/cobourg-retirement-homes,
321 King Street Ltd,,,,905-482-0201,https://obd.hcraontario.ca/profile/B46763,
Duke of Devonshire,,,,,https://www.chatsworth.org/visit-chatsworth/chatsworth-estate/history-of-chatsworth/meet-the-devonshire-family/,
JD Development 254 Phillip Street Ltd,,,,,https://www.jddevelopment.ca/about/,
1570333 Ontario Inc,,,,,https://www.obrpartner.mgcs.gov.on.ca/onbis/master/service/create.pub?o=oA3vOl4N_xGMMKu_SfdRAhAhLLiss2AEBQqF9gdZPUC3qwVU0pjwZw,
1229403 Ontario Ltd,,,,416-598-2129,,
10-20 Fincham Inc,,,,,https://lsgrealty.ca/wp-content/uploads/2023/08/V2-1020-Fincham-Brochures.pdf,
Wood & Church Inc,,,,,https://www.woodschurchinteriors.com/,
Tanem Properties Ltd,,,,,https://www.dnb.com/business-directory/company-profiles.tanem_developments_ltd.f34a96d815024cf8e55f8e1d465f9420.html,
Aurora Retail GP Ltd,,,,,https://auroraretailgroup.com/mtl,
Kincardine - Sutton Park Mall Inc,Alex Johnson,,,,https://www.shopping-canada.com/shopping-malls-centers/ontario/kincardine/sutton-park-mall,https://linkedin.com/search/results/companies/?keywords=Kincardine+-+Sutton+Park+Mall+Inc
